student_id,major,year,current_semester,gpa,completed_credits,completed_courses,course_grades,failed_courses,career_goal,career_track,max_credits_per_semester,study_hours_per_week,risk_level,recommended_credits,weak_skills
UET230011,Kỹ thuật Robot,1,2,1.13,30,ELT1007;ELT2035;ELT3240;EPN1095;EPN1096;INT1008;INT1009;INT2210;MAT1041;MAT1042,ELT1007:D+;ELT2035:D;ELT3240:C;ELT3996:F;EPN1095:D;EPN1096:C;INT1008:D;INT1009:D+;INT2210:D+;MAT1041:D;MAT1042:D;RBE1001:F,ELT3996;RBE1001,Firmware Engineer,Tự động hóa công nghiệp,16,13,HIGH,14,Embedded C/C++;Lập trình;Toán nền tảng
UET230012,Kỹ thuật Robot,1,1,2.13,23,ELT3240;EPN1095;EPN1096;INT1008;INT1009;INT2210;MAT1041;RBE1001,ELT3240:C;EPN1095:C;EPN1096:C+;INT1008:C;INT1009:C;INT2210:C+;MAT1041:D+;RBE1001:B,,Industrial Automation Engineer,Tự động hóa công nghiệp,18,12,MEDIUM,16,Lập trình;Toán nền tảng
UET230013,Kỹ thuật Robot,1,1,3.34,35,ELT1007;ELT2035;EPN1095;FLF1107;INT1008;INT1009;MAT1041;MAT1093;PEC1008;PHI1006;RBE1001;THL1057,ELT1007:B+;ELT2035:B+;EPN1095:B;FLF1107:B;INT1008:B+;INT1009:B+;MAT1041:A;MAT1093:B+;PEC1008:C+;PHI1006:B+;RBE1001:B;THL1057:B+,,Automation PLC Engineer,Tự động hóa công nghiệp,22,7,LOW,20,PLC/SCADA
UET230014,Kỹ thuật Robot,1,1,3.03,28,ELT1007;ELT2035;HIS1001;INT1008;INT1009;MAT1041;PEC1008;PHI1002;PHI1006;POL1001;RBE1001,ELT1007:B;ELT2035:B;HIS1001:B;INT1008:B;INT1009:C+;MAT1041:B+;PEC1008:A;PHI1002:B;PHI1006:B;POL1001:B;RBE1001:C+,,PLC Programmer,Tự động hóa công nghiệp,20,9,LOW,18,PLC/SCADA
UET230015,Kỹ thuật Robot,1,1,3.25,36,ELT1007;ELT2035;EPN1095;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;POL1001;RBE1001,ELT1007:B;ELT2035:B;EPN1095:B+;FLF1107:C+;HIS1001:B+;INT1008:B;INT1009:B+;INT2210:B+;MAT1041:B+;MAT1042:B+;POL1001:B+;RBE1001:B+,,AI Robotics Engineer,Robot thông minh,22,8,LOW,20,Python
UET230016,Kỹ thuật Robot,1,2,1.16,30,ELT1007;ELT2035;FLF1107;INT1008;MAT1041;MAT1042;PEC1008;PHI1002;PHI1006;RBE1001,ELT1007:D;ELT2035:D+;FLF1107:C;INT1008:D+;MAT1041:D;MAT1042:D;PEC1008:D;PHI1002:D;PHI1006:D+;RBE1001:D;RBE2021:F;RBE3051:F,RBE2021;RBE3051,Embedded Robotics Engineer,Tự động hóa công nghiệp,16,12,HIGH,14,Embedded C/C++;Lập trình;Toán nền tảng
UET230017,Kỹ thuật Robot,1,1,3.14,24,ELT1007;ELT2035;ELT3240;INT1008;INT2210;MAT1041;PEC1008;PHI1006,ELT1007:A;ELT2035:B+;ELT3240:B;INT1008:B;INT2210:B;MAT1041:B+;PEC1008:B;PHI1006:C+,,Computer Vision Engineer,Robot thông minh,20,8,LOW,18,OpenCV
UET230018,Kỹ thuật Robot,1,2,3.02,37,ELT1007;ELT2035;ELT3240;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT2210;MAT1041;MAT1101;RBE1001;THL1057,ELT1007:B+;ELT2035:B+;ELT3240:C+;EPN1095:B+;EPN1096:B+;FLF1107:C+;HIS1001:B;INT1008:C+;INT2210:B;MAT1041:B+;MAT1101:C+;RBE1001:B;THL1057:A,,Motion Planning Engineer,Robot thông minh,20,8,LOW,18,
UET230019,Kỹ thuật Robot,1,1,3.09,30,ELT3240;EPN1095;INT1008;INT1009;INT2210;MAT1041;MAT1042;PEC1008;PHI1006;RBE1001,ELT3240:B;EPN1095:C+;INT1008:A;INT1009:B+;INT2210:B;MAT1041:B;MAT1042:B;PEC1008:C+;PHI1006:B;RBE1001:B+,,Microcontroller Programmer,Tự động hóa công nghiệp,20,8,LOW,18,Embedded C/C++
UET230020,Kỹ thuật Robot,1,1,3.21,33,ELT1007;ELT3240;EPN1095;EPN1096;HIS1001;INT1008;INT1009;MAT1041;MAT1042;MAT1093;POL1001;RBE1001,ELT1007:B;ELT3240:B+;EPN1095:B;EPN1096:B;HIS1001:B+;INT1008:B+;INT1009:B;MAT1041:B+;MAT1042:B;MAT1093:B;POL1001:B;RBE1001:B+,,IoT Robotics Engineer,Tự động hóa công nghiệp,22,6,LOW,20,
UET230021,Kỹ thuật Robot,1,2,2.26,19,ELT1007;ELT3240;HIS1001;INT1008;MAT1093;PEC1008;PHI1006,ELT1007:C+;ELT3240:C;HIS1001:C;INT1008:C;MAT1093:C+;PEC1008:D+;PHI1006:B,,AI Robotics Engineer,Robot thông minh,18,10,MEDIUM,16,Lập trình;Python
UET230022,Kỹ thuật Robot,1,2,3.23,31,ELT1007;ELT3240;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT2210;MAT1041;POL1001;RBE1001,ELT1007:B+;ELT3240:B+;EPN1095:C+;EPN1096:B;FLF1107:B+;HIS1001:B;INT1008:B;INT2210:B+;MAT1041:B;POL1001:B;RBE1001:B+,,Industrial Automation Engineer,Tự động hóa công nghiệp,22,7,LOW,20,
UET230023,Kỹ thuật Robot,1,2,2.12,24,ELT1007;ELT3240;INT1008;INT1009;MAT1041;MAT1042;PHI1006;POL1001,ELT1007:C;ELT3240:B;INT1008:D+;INT1009:C;MAT1041:C;MAT1042:C;PHI1006:C+;POL1001:C,,IoT Robotics Engineer,Tự động hóa công nghiệp,18,12,MEDIUM,16,Lập trình;Toán nền tảng
UET230024,Kỹ thuật Robot,1,2,3.07,23,ELT3240;HIS1001;INT1008;INT1009;MAT1041;MAT1101;PHI1006;RBE1001,ELT3240:C+;HIS1001:B+;INT1008:B;INT1009:B;MAT1041:B;MAT1101:B+;PHI1006:B+;RBE1001:C+,,Industrial Automation Engineer,Tự động hóa công nghiệp,20,10,LOW,18,
UET230025,Kỹ thuật Robot,1,2,1.09,24,ELT1007;EPN1095;EPN1096;FLF1107;INT1008;MAT1041;MAT1042;RBE1001,ELT1007:D+;EPN1095:D;EPN1096:C;FLF1107:D+;INT1008:D;MAT1041:D+;MAT1042:D;PSY1050:F;RBE1001:D;RBE3042:F,PSY1050;RBE3042,Microcontroller Programmer,Tự động hóa công nghiệp,16,12,HIGH,14,Embedded C/C++;Lập trình;Toán nền tảng;Điều khiển
UET230026,Kỹ thuật Robot,1,1,2.56,41,ELT1007;ELT2035;EPN1095;FLF1107;HIS1001;INT1008;INT2210;MAT1041;MAT1093;MAT1101;PHI1006;POL1001;RBE1001;THL1057,ELT1007:C+;ELT2035:D+;EPN1095:B;FLF1107:C+;HIS1001:B;INT1008:C;INT2210:B;MAT1041:B;MAT1093:C+;MAT1101:C+;PHI1006:C+;POL1001:C+;RBE1001:C+;THL1057:B,,AI Robotics Engineer,Robot thông minh,20,9,MEDIUM,18,Lập trình;Python
UET230027,Kỹ thuật Robot,1,1,3.35,37,ELT1007;ELT2035;EPN1095;FLF1107;HIS1001;INT1008;INT1009;MAT1041;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;THL1057,ELT1007:B+;ELT2035:B;EPN1095:B+;FLF1107:B;HIS1001:B+;INT1008:B+;INT1009:A;MAT1041:A;PEC1008:A;PHI1002:B+;PHI1006:A;POL1001:B;RBE1001:B;THL1057:C+,,Vision-based Robotics Engineer,Robot thông minh,22,8,LOW,20,OpenCV
UET230028,Kỹ thuật Robot,1,1,1.97,27,ELT1007;ELT3240;EPN1095;EPN1096;FLF1107;MAT1041;MAT1093;PHI1006;RBE1001,ELT1007:C+;ELT3240:C;ELT3292:F;EPN1095:B;EPN1096:D+;FLF1107:C;MAT1041:C+;MAT1093:D+;PHI1006:B;RBE1001:C,ELT3292,SCADA Systems Engineer,Tự động hóa công nghiệp,16,15,HIGH,14,Lập trình;PLC/SCADA;Toán nền tảng;Điện tử - vi điều khiển
UET230029,Kỹ thuật Robot,1,1,3.14,34,ELT1007;ELT2035;ELT3240;EPN1095;EPN1096;FLF1107;INT1008;INT1009;INT2210;MAT1041;PHI1006,ELT1007:C+;ELT2035:A;ELT3240:B;EPN1095:B+;EPN1096:B+;FLF1107:B;INT1008:B;INT1009:B+;INT2210:B;MAT1041:B;PHI1006:B,,Cloud Robotics Developer,Robot thông minh,20,9,LOW,18,
UET230030,Kỹ thuật Robot,1,1,3.09,37,ELT1007;ELT3240;FLF1107;HIS1001;INT1008;INT2210;MAT1041;MAT1042;MAT1101;PEC1008;PHI1006;POL1001,ELT1007:B;ELT3240:B;FLF1107:C+;HIS1001:C+;INT1008:C+;INT2210:B;MAT1041:B+;MAT1042:B+;MAT1101:B+;PEC1008:A;PHI1006:B+;POL1001:B,,PLC Programmer,Tự động hóa công nghiệp,20,9,LOW,18,PLC/SCADA
UET230031,Kỹ thuật Robot,1,2,2.26,34,ELT1007;ELT2035;ELT3240;HIS1001;INT1008;INT1009;MAT1041;MAT1093;MAT1101;PHI1002;PHI1006;RBE1001,ELT1007:C+;ELT2035:C;ELT3240:C;HIS1001:C+;INT1008:C;INT1009:C+;MAT1041:C;MAT1093:B;MAT1101:B;PHI1002:C;PHI1006:B;PSY1050:F;RBE1001:C,PSY1050,Computer Vision Engineer,Robot thông minh,18,10,MEDIUM,16,Lập trình;OpenCV;Toán nền tảng
UET230032,Kỹ thuật Robot,1,1,3.68,43,ELT1007;ELT3240;EPN1095;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;PEC1008;PHI1002;PHI1006,ELT1007:B+;ELT3240:A;EPN1095:B+;FLF1107:B+;HIS1001:A;INT1008:A;INT1009:B+;INT2210:A;MAT1041:A+;MAT1042:A;MAT1093:B+;PEC1008:B+;PHI1002:A+;PHI1006:A+,,IoT Robotics Engineer,Tự động hóa công nghiệp,22,7,LOW,20,
UET230033,Kỹ thuật Robot,1,2,2.63,23,ELT1007;ELT2035;ELT3240;INT1008;INT2210;MAT1041;PHI1002;RBE1001,ELT1007:C;ELT2035:B;ELT3240:B;INT1008:C+;INT2210:B;MAT1041:C+;PHI1002:C;RBE1001:C+,,IoT Robotics Engineer,Tự động hóa công nghiệp,20,8,MEDIUM,18,
UET230034,Kỹ thuật Robot,1,1,3.06,39,ELT2035;ELT3240;EPN1095;EPN1096;FLF1107;INT1008;MAT1041;MAT1042;MAT1093;MAT1101;PHI1002;RBE1001;THL1057,ELT2035:C+;ELT3240:B+;EPN1095:B+;EPN1096:C+;FLF1107:B;INT1008:C+;MAT1041:A;MAT1042:C+;MAT1093:B+;MAT1101:B;PHI1002:B+;RBE1001:B+;THL1057:C+,,Automation PLC Engineer,Tự động hóa công nghiệp,20,9,LOW,18,PLC/SCADA
UET230035,Kỹ thuật Robot,1,2,3.08,27,ELT1007;ELT2035;ELT3240;EPN1095;EPN1096;MAT1041;PEC1008;PHI1002;PHI1006;RBE1001;THL1057,ELT1007:C+;ELT2035:B+;ELT3240:A;EPN1095:C+;EPN1096:C+;MAT1041:C+;PEC1008:B+;PHI1002:B+;PHI1006:B+;RBE1001:B+;THL1057:C+,,PLC Programmer,Tự động hóa công nghiệp,20,9,LOW,18,PLC/SCADA
UET230036,Kỹ thuật Robot,1,1,0.98,35,ELT1007;ELT2035;ELT3240;FLF1107;INT1008;INT1009;MAT1041;MAT1093;MAT1101;PEC1008;PHI1006,ELT1007:D;ELT2035:D;ELT3240:D+;FLF1107:D;INT1008:D+;INT1009:D;MAT1041:D;MAT1093:C;MAT1101:D;PEC1008:D;PHI1006:D;RBE2001:F;RBE3013:F;RBE3050:F,RBE2001;RBE3013;RBE3050,Microcontroller Programmer,Tự động hóa công nghiệp,16,12,HIGH,14,Embedded C/C++;Lập trình;Toán nền tảng
UET230037,Kỹ thuật Robot,1,1,2.66,32,ELT3240;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;MAT1041;MAT1093;MAT1101;RBE1001;THL1057,ELT3240:C+;EPN1095:B;EPN1096:C;FLF1107:B;HIS1001:B;INT1008:C;MAT1041:B;MAT1093:C+;MAT1101:C+;RBE1001:C+;THL1057:B,,Kinematics & Dynamics Specialist,Robot thông minh,20,10,MEDIUM,18,Lập trình
UET230038,Kỹ thuật Robot,1,2,3.34,24,ELT1007;FLF1107;INT1008;INT1009;MAT1041;PEC1008;PHI1006;RBE1001,ELT1007:A;FLF1107:B+;INT1008:B;INT1009:B;MAT1041:A;PEC1008:B;PHI1006:B+;RBE1001:B,,Computer Vision Engineer,Robot thông minh,22,6,LOW,20,OpenCV
UET230039,Kỹ thuật Robot,2,4,3.63,50,ELT2035;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;THL1057,ELT2035:A+;EPN1095:A+;EPN1096:A+;FLF1107:B+;HIS1001:A+;INT1008:A+;INT1009:B;INT2210:A;MAT1041:A;MAT1042:B+;MAT1093:B;MAT1101:B+;PEC1008:A;PHI1002:A;PHI1006:A;POL1001:B+;THL1057:A+,,AI Robotics Engineer,Robot thông minh,22,6,LOW,20,Python
UET230040,Kỹ thuật Robot,2,3,2.22,50,ELT2035;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;THL1057,ELT2035:B;EPN1095:C;EPN1096:B;FLF1107:C+;HIS1001:C;INT1008:D+;INT1009:C;INT2210:B;MAT1041:C+;MAT1042:C+;MAT1093:C;MAT1101:B;PEC1008:C+;PHI1002:C;PHI1006:C+;POL1001:D+;RBE3056:F;THL1057:D+,RBE3056,Embedded Robotics Engineer,Tự động hóa công nghiệp,18,10,MEDIUM,16,Embedded C/C++;Lập trình;Toán nền tảng
UET230041,Kỹ thuật Robot,2,4,3.17,68,ELT2035;ELT2201;ELT3134;ELT3144;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2001;RBE2031;THL1057,ELT2035:B+;ELT2201:C+;ELT3134:B;ELT3144:B;ELT3295:B+;EPN1095:B+;EPN1096:B;FLF1107:B;HIS1001:B+;INT1008:B;INT1009:B;INT2210:B+;MAT1041:A;MAT1042:B;MAT1093:B;MAT1101:C+;PEC1008:A;PHI1002:B;PHI1006:B;POL1001:A;RBE1001:B;RBE2001:B+;RBE2031:B+;THL1057:B,,Embedded Systems Developer,Tự động hóa công nghiệp,20,8,LOW,18,Embedded C/C++
UET230042,Kỹ thuật Robot,2,4,3.22,75,ELT2035;ELT2201;ELT3051;ELT3134;ELT3144;ELT3240;ELT3290;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE2001;RBE3002;THL1057,ELT2035:B;ELT2201:C+;ELT3051:B+;ELT3134:C+;ELT3144:C+;ELT3240:B+;ELT3290:C+;ELT3295:B;EPN1095:C+;EPN1096:B+;FLF1107:A;HIS1001:B;INT1008:A;INT1009:C+;INT2210:B+;MAT1041:A;MAT1042:A;MAT1093:B;MAT1101:B+;PEC1008:A;PHI1002:A;PHI1006:B+;POL1001:B+;RBE2001:B+;RBE3002:B;THL1057:B,,Industrial Automation Engineer,Tự động hóa công nghiệp,22,8,LOW,20,
UET230043,Kỹ thuật Robot,2,4,2.36,53,ELT2035;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;THL1057,ELT2035:D+;ELT3295:B;EPN1095:B;EPN1096:C;FLF1107:C+;HIS1001:B;INT1008:C;INT1009:C;INT2210:C+;MAT1041:D+;MAT1042:B;MAT1093:C;MAT1101:C;PEC1008:B;PHI1002:C;PHI1006:B;POL1001:C+;THL1057:C+,,AI Robotics Engineer,Robot thông minh,18,12,MEDIUM,16,Lập trình;Python;Toán nền tảng
UET230044,Kỹ thuật Robot,2,4,1.51,53,ELT2035;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;THL1057,ELT1007:F;ELT2035:C;ELT3295:D;EPN1095:C;EPN1096:D;FLF1107:C;HIS1001:C;INT1008:D;INT1009:D;INT2210:C;MAT1041:C;MAT1042:D+;MAT1093:C;MAT1101:C;PEC1008:C;PHI1002:D+;PHI1006:D;POL1001:D;RBE1001:F;THL1057:D+,ELT1007;RBE1001,PLC Programmer,Tự động hóa công nghiệp,16,12,HIGH,14,Lập trình;PLC/SCADA;Toán nền tảng
UET230045,Kỹ thuật Robot,2,3,3.22,52,ELT1007;ELT2035;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;THL1057,ELT1007:B+;ELT2035:B;EPN1095:B+;EPN1096:B;FLF1107:A;HIS1001:B;INT1008:B;INT1009:C+;INT2210:B;MAT1041:B+;MAT1042:B+;MAT1093:B;MAT1101:B+;PEC1008:A;PHI1002:B;PHI1006:C+;POL1001:B+;THL1057:B+,,Automation PLC Engineer,Tự động hóa công nghiệp,22,6,LOW,20,PLC/SCADA
UET230046,Kỹ thuật Robot,2,4,3.27,68,ELT2035;ELT2201;ELT3134;ELT3144;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2001;RBE3002;THL1057,ELT2035:B+;ELT2201:A;ELT3134:B;ELT3144:B;ELT3295:B+;EPN1095:B+;EPN1096:B;FLF1107:B+;HIS1001:B;INT1008:C+;INT1009:B+;INT2210:A;MAT1041:B+;MAT1042:B+;MAT1093:C+;MAT1101:A;PEC1008:B+;PHI1002:C+;PHI1006:C+;POL1001:B+;RBE1001:B+;RBE2001:B;RBE3002:B+;THL1057:A,,Navigation Algorithm Engineer,Robot thông minh,22,8,LOW,20,
UET230047,Kỹ thuật Robot,2,4,1.39,81,ELT1007;ELT2035;ELT2201;ELT3051;ELT3134;ELT3144;ELT3240;ELT3290;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2001;RBE2031;RBE3002;THL1057,ELT1007:C;ELT2035:C;ELT2201:D+;ELT3051:D+;ELT3134:D+;ELT3144:D;ELT3240:C;ELT3290:D;ELT3295:D;EPN1095:C;EPN1096:C;FLF1107:D+;HIS1001:D;HIS1056:F;INT1008:D;INT1009:D;INT2210:D;MAT1041:C;MAT1042:D;MAT1093:C;MAT1101:C;PEC1008:D+;PHI1002:C;PHI1006:D;POL1001:D;RBE1001:D;RBE2001:C;RBE2031:C;RBE3002:C;RBE3013:F;THL1057:D+,HIS1056;RBE3013,PLC Programmer,Tự động hóa công nghiệp,16,15,HIGH,14,Lập trình;PLC/SCADA;Toán nền tảng;Điện tử - vi điều khiển
UET230048,Kỹ thuật Robot,2,4,3.62,69,ELT1007;ELT2035;ELT2201;ELT3240;ELT3290;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2001;RBE2031;RBE3002;THL1057,ELT1007:B+;ELT2035:B+;ELT2201:A+;ELT3240:B;ELT3290:A;EPN1095:B+;EPN1096:A+;FLF1107:A+;HIS1001:B+;INT1008:B+;INT1009:A;INT2210:B;MAT1041:A+;MAT1042:B+;MAT1093:A;MAT1101:A+;PEC1008:A;PHI1002:B;PHI1006:A+;POL1001:B+;RBE1001:A;RBE2001:B;RBE2031:A+;RBE3002:B+;THL1057:B+,,SCADA Systems Engineer,Tự động hóa công nghiệp,22,8,LOW,20,PLC/SCADA
UET230049,Kỹ thuật Robot,2,3,2.35,57,ELT2035;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2031;THL1057,ELT2035:C+;ELT3295:C+;EPN1095:B;EPN1096:C;FLF1107:B;HIS1001:C+;INT1008:C;INT1009:C+;INT2210:D+;MAT1041:B;MAT1042:C+;MAT1093:C;MAT1101:C;PEC1008:C+;PHI1002:C;PHI1006:C+;POL1001:D+;RBE1001:C;RBE2031:C+;THL1057:C+,,Vision-based Robotics Engineer,Robot thông minh,18,10,MEDIUM,16,Lập trình;OpenCV;Toán nền tảng
UET230050,Kỹ thuật Robot,2,3,3.15,78,ELT1007;ELT2035;ELT2201;ELT3051;ELT3134;ELT3144;ELT3240;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE1001;RBE2001;RBE2031;RBE3002;THL1057,ELT1007:A;ELT2035:C+;ELT2201:A;ELT3051:A;ELT3134:B;ELT3144:C+;ELT3240:B+;ELT3295:C+;EPN1095:B+;EPN1096:B+;FLF1107:B+;HIS1001:B+;INT1008:C+;INT1009:C+;INT2210:B+;MAT1041:B;MAT1042:B;MAT1093:B;MAT1101:B;PEC1008:A;PHI1002:B+;PHI1006:B+;POL1001:C+;RBE1001:A;RBE2001:B;RBE2031:B;RBE3002:B+;THL1057:B,,Cloud Robotics Developer,Robot thông minh,20,8,LOW,18,
UET230051,Kỹ thuật Robot,2,3,3.2,67,ELT1007;ELT2035;ELT3240;ELT3290;ELT3295;EPN1095;EPN1096;FLF1107;HIS1001;INT1008;INT1009;INT2210;MAT1041;MAT1042;MAT1093;MAT1101;PEC1008;PHI1002;PHI1006;POL1001;RBE2001;RBE2031;RBE3002;THL1057,ELT1007:B+;ELT2035:B+;ELT3240:B;ELT3290:A;ELT3295:B+;EPN1095:B+;EPN1096:C+;FLF1107:C+;HIS1001:B;INT1008:B;INT1009:B;INT2210:B+;MAT1041:B+;MAT1042:C+;MAT1093:B+;MAT1101:C+;PEC1008:B;PHI1002:B+;PHI1006:B+;POL1001:A;RBE2001:B+;RBE2031:A;RBE3002:B+;THL1057:B,,Smart Home Robotics Specialist,Tự động hóa công nghiệp,22,6,LOW,20,
